training_row_index,sample_id,episode_id,publisher_row_index,publisher_row_sha256,source_id
0,published-ef77b1cc0127f5d739fe,6b6e19d6-b087-4124-8582-d5823f864f7e,186136,ef77b1cc0127f5d739fef26c3bf98b756acef48d7db1871490b4efa2041daac2,training-dataset-manifest
1,published-58db3b81420c82f4d284,d05f5f00-779b-4ec4-957c-6cf62eb216f5,191296,58db3b81420c82f4d2847735ac81fe81f250d08e5fc1feee34d53675ff40ef90,training-dataset-manifest
2,published-2f1ce77462a8d0e66c6b,24896dd8-9e44-44d7-ab88-d5051a581d79,182470,2f1ce77462a8d0e66c6b651c9d947e259dfdb22fdcd6cef21318c3ff537d5b3b,training-dataset-manifest
3,published-50cecd7cc44eeafe39ca,53532fbf-1cba-4e37-b6a3-635f43dfa192,185054,50cecd7cc44eeafe39ca04443c5ae1c35fc5d7ff4bbe5fb5e41076b6bc4378f4,training-dataset-manifest
4,published-607f83f79f9ce549ed2e,0c6edab5-b427-4a32-bf49-037defc5c5d5,181033,607f83f79f9ce549ed2ee71624a2444c103b166eec94524e8a52b63afbf2b5f0,training-dataset-manifest
5,published-extension-810592d4eb7b45949eee,7bfb4dac-e957-445d-ae3d-6d2ea3261d46,186843,810592d4eb7b45949eeebcc138544cf51584e876a80a2355a80b5591e142dfae,training-dataset-manifest
6,published-extension-e81f10e2dd981e6a6e41,eca8b20f-8d3f-497f-baaf-410728679b35,192831,e81f10e2dd981e6a6e41c73efbf06d9f7f34ae30f5b4a0ab4734a2ba71a5841a,training-dataset-manifest
7,published-extension-9164b4be998af177962a,177f6979-ed9e-4105-913d-71177c478014,181799,9164b4be998af177962aae832acdf81e27cd2b89d6d26dfd3771e80a1a0adbb8,training-dataset-manifest
8,published-extension-01e7dc10e9bffc2bc36d,4b23e336-f8f2-4a38-8bbc-d6f172c6a79d,184715,01e7dc10e9bffc2bc36d1c1cdef3ea7bb8728040b4b1ad96ac4f63f88ebf7b55,training-dataset-manifest
9,published-extension-ba6206ea2362334e81f7,0415c49a-8b4c-4150-a235-b27a88b6d6e5,180470,ba6206ea2362334e81f7b0040baef5e1539bd245c0c1f05f6a6eb6bbb6482955,training-dataset-manifest
10,published-extension-9aa952f6514b1ca9eff6,83f1ffee-2bec-420d-99bc-eacac7051a3a,187405,9aa952f6514b1ca9eff6c0c91205bb0f08a1546a224646c2b6ac4bfe62969c53,training-dataset-manifest
11,published-extension-e989e3a3c87587d94a95,bfc6a082-be09-4095-b599-a23cc0d06ed4,190597,e989e3a3c87587d94a95a1b9128225ac0c0d98cf86c1c6b48058169f88ce8c70,training-dataset-manifest
12,published-extension-0b224b1f87dfd8123a1b,f54b62e1-1fd8-4675-bbac-f4855b77a1c9,193303,0b224b1f87dfd8123a1bb00ae3c8071a03d8dcca9263f5482c8db5770a88d6a4,training-dataset-manifest
13,published-extension-3b6de1a0a628eb20d141,d8ec4554-0c4a-4b8b-933c-e5d8cbb0e076,191785,3b6de1a0a628eb20d1413cfabbb55021808c53edc3bc37a634765e8f6b498a89,training-dataset-manifest
14,published-extension-46dc975a62af6809e5de,365baed6-b3f2-4245-abf3-62dfd99c0002,183574,46dc975a62af6809e5de6479f3975c1d257ce9f3614b287c75f3c518f12d4a64,training-dataset-manifest
15,published-extension-8aa844898ea181b14225,5b4cdfb4-b5ce-4374-bb41-6eef3d2765f9,185323,8aa844898ea181b1422530418bd34396feae6efb36cf5115019b006e6436de3d,training-dataset-manifest
16,published-extension-7cfb7bf4000f273176c3,86305c21-1426-41c5-a988-ace8b3174f6f,187544,7cfb7bf4000f273176c3fc8940313c223abdb09a25c81c7f374c4517c8002804,training-dataset-manifest
17,published-extension-68c52e5d89513aaba0d3,3c70f459-e46d-4064-9e01-cd6ead1f0c4e,183941,68c52e5d89513aaba0d3691d556c83d655dfe993628d6185c91b582c3fdb2122,training-dataset-manifest
18,published-extension-33346cffe6ae4b650e2d,87201da8-c090-45f1-b95c-6f36c6cd5295,187628,33346cffe6ae4b650e2d49b5d6781eb4316b93e42df1a8bfbe4e9b475dd7ebc6,training-dataset-manifest
19,published-extension-7faedd048e384d070d6f,e6a6ec16-55e3-4365-985c-18fc56525b9a,192528,7faedd048e384d070d6fe143937132d649bf54440fb8461741b5422541f5fad5,training-dataset-manifest
20,published-extension-285b4fc9f99283189a52,04236930-9da7-474a-9108-e0f84caef81a,180498,285b4fc9f99283189a520e5ce81a299e1e16f00ef2f0ef51142bbbb830a3c2e7,training-dataset-manifest
21,published-extension-a4811d7743acac9cc3d5,406faacc-bda8-474c-9129-169eb7f09aee,184214,a4811d7743acac9cc3d5d317bb3c142efe275f643f68e6ef0c99a0d0e3416fca,training-dataset-manifest
22,published-extension-c5cfe7cf6a6ce25af1aa,1cb11d6e-3ce3-4fa5-892b-3c0c382d4a36,182077,c5cfe7cf6a6ce25af1aa2fc22067ccd1d6ac2d67afa094a9fc04e10b8434c16a,training-dataset-manifest
23,published-extension-7946338bc49fc540ed4e,478cdffe-cc08-46ef-97fe-813346355a7c,184615,7946338bc49fc540ed4ebd64408b8360534a5a2d1f0b95a96e8f20d6d242f6c8,training-dataset-manifest
24,published-extension-027a0ce710c8b8d869cc,8d8c2fe9-c9f8-4155-880b-56d8735f0e2a,188059,027a0ce710c8b8d869cc9fc0573677b79b04ab90b90b6e22afbb7f66c73c489e,training-dataset-manifest
