cohort,mission_ordinal,episode_id,arm,valid,observed_attempts,success,oracle_success,upstream_collision_flag,any_sampled_endpoint_contact,terminal_endpoint_contact,terminal_loop_index,final_target_distance_m,termination_reason,accepted_reset,observations_recorded,policy_outputs_recorded,actions_completed,generate_host_interval_count,generate_host_seconds_total,generate_host_seconds_mean,generate_host_seconds_median,comparison_source_id,analysis_source_id
development,1,071b894c-135b-40bb-9305-c132da19dee7,original,True,1,False,False,True,True,True,37,69.97581950827565,upstream_collision_flag,True,38,37,37,37,16.569418579,0.4478221237567568,0.445059957,development-comparison,development-original-analysis
development,2,196334ed-54be-40f2-864a-3eb94b59b4cc,original,True,1,True,True,False,False,False,58,1.0751668355626844,success,True,59,58,58,58,25.749918602,0.4439641138275862,0.4394346455,development-comparison,development-original-analysis
development,3,1b11065c-79e7-4414-a668-4fef823a8588,original,True,1,False,False,True,True,True,17,96.4172577306623,upstream_collision_flag,True,18,17,17,17,7.551057084,0.44417982847058823,0.441126703,development-comparison,development-original-analysis
development,4,249392f7-8340-47c4-af61-4ddfb1a424d5,original,True,1,False,False,True,False,False,2,63.325953650574014,upstream_collision_flag,True,3,2,2,2,0.897397847,0.4486989235,0.4486989235,development-comparison,development-original-analysis
development,5,25620336-ccad-4368-a707-d3cc78fac870,original,True,1,False,False,True,True,True,20,105.99052669263574,upstream_collision_flag,True,21,20,20,20,8.812705219,0.44063526095,0.4386986275,development-comparison,development-original-analysis
development,6,343f9571-0628-45c1-87dd-23c71aea1ce8,original,True,1,False,False,True,False,False,16,73.22261362237114,upstream_collision_flag,True,17,16,16,16,7.058643511,0.4411652194375,0.4390117555,development-comparison,development-original-analysis
development,7,46106a1d-aea0-4123-89d8-6cdff164a339,original,True,1,False,True,False,False,False,75,2.5551677640536608,oracle_success,True,76,75,75,75,33.792594511,0.45056792681333335,0.441225175,development-comparison,development-original-analysis
development,8,4685a1f7-b057-459d-af35-5445e9fbdfa8,original,True,1,False,False,True,False,False,29,40.5139079051225,upstream_collision_flag,True,30,29,29,29,12.674749795,0.4370603377586207,0.435152786,development-comparison,development-original-analysis
development,9,4d0c6483-7c4b-4c92-a747-0097acd132af,original,True,1,True,True,False,False,False,36,10.75852989335781,success,True,37,36,36,36,15.556918806,0.4321366335,0.4311194035,development-comparison,development-original-analysis
development,10,52eb0469-3bf8-4a19-bbb7-5c6f3a1f6cd0,original,True,1,True,True,False,False,False,25,3.340004305210786,success,True,26,25,25,25,11.20170033,0.4480680132,0.443919449,development-comparison,development-original-analysis
