cohort,mission_ordinal,episode_id,original_success,candidate_success,original_oracle_success,candidate_oracle_success,sr_difference_candidate_minus_original,comparison_source_id
development,1,071b894c-135b-40bb-9305-c132da19dee7,False,False,False,False,0,development-comparison
development,2,196334ed-54be-40f2-864a-3eb94b59b4cc,True,False,True,False,-1,development-comparison
development,3,1b11065c-79e7-4414-a668-4fef823a8588,False,False,False,True,0,development-comparison
development,4,249392f7-8340-47c4-af61-4ddfb1a424d5,False,False,False,False,0,development-comparison
development,5,25620336-ccad-4368-a707-d3cc78fac870,False,False,False,False,0,development-comparison
development,6,343f9571-0628-45c1-87dd-23c71aea1ce8,False,True,False,True,1,development-comparison
development,7,46106a1d-aea0-4123-89d8-6cdff164a339,False,False,True,False,0,development-comparison
development,8,4685a1f7-b057-459d-af35-5445e9fbdfa8,False,False,False,False,0,development-comparison
development,9,4d0c6483-7c4b-4c92-a747-0097acd132af,True,False,True,True,-1,development-comparison
development,10,52eb0469-3bf8-4a19-bbb7-5c6f3a1f6cd0,True,True,True,True,0,development-comparison
development,11,5762cc30-9ab6-422a-9ddd-37acc49174ce,True,True,True,True,0,development-comparison
development,12,6f56bc1b-9d07-4f5d-abc7-29d417282235,False,False,False,False,0,development-comparison
development,13,928aab24-5ec5-45f3-8a86-675dad1d2006,False,False,False,False,0,development-comparison
development,14,a04d1fec-4ecf-480f-9dd4-d9197475cc16,False,False,False,False,0,development-comparison
development,15,a45a5217-abd3-403e-845e-082913f0c4ef,False,False,False,False,0,development-comparison
development,16,d43dd483-c91d-45d2-9e94-9331cfafd8cb,True,True,True,True,0,development-comparison
development,17,d60e500c-d4ed-4df5-ab30-0de282ca9f18,False,True,False,True,1,development-comparison
development,18,e319e8e1-93e1-4196-b791-4dfabb42c3eb,True,True,True,True,0,development-comparison
development,19,f14e7115-e964-47b9-89cf-b6069541ba8c,False,False,False,False,0,development-comparison
development,20,f42e6ff3-1f24-4dea-8ea6-990784e9df06,False,True,False,True,1,development-comparison
holdout,1,8daaf47b-a164-49f8-b6f8-3e63fae02f72,True,True,True,True,0,holdout-comparison
holdout,2,44f9a56c-df6f-4c24-88cf-cd6d65118733,False,True,False,True,1,holdout-comparison
holdout,3,71108556-bce9-441f-ace4-a3b351de20ed,False,False,False,True,0,holdout-comparison
holdout,4,7eda8e52-81dd-4604-869e-b0f9e285639b,False,False,True,False,0,holdout-comparison
holdout,5,3738e6c6-c30f-4109-bab9-87f8e67ed682,False,False,False,False,0,holdout-comparison
holdout,6,611630c3-9786-455e-80d7-b4f2fdb50275,True,True,True,True,0,holdout-comparison
holdout,7,6452f234-efba-4088-bc9a-39130a811007,False,False,False,False,0,holdout-comparison
holdout,8,1f90a8a5-a80e-41b9-8a48-8b60af633a51,False,True,True,True,1,holdout-comparison
holdout,9,8285681c-d33a-4b60-8ebf-3ac47b465658,True,False,True,False,-1,holdout-comparison
holdout,10,ecdd2a97-5a3d-4626-878b-0abf79115d4f,False,False,True,False,0,holdout-comparison
