optimizer_step,training_row_index,sample_id,microbatch_loss,gradient_norm_before_clip,learning_rate,completed_sample_exposures,recorded_step_seconds,source_id
1,6,published-extension-e81f10e2dd981e6a6e41,0.09135225415229797,10.073444366455078,2e-05,1,0.49949816200023633,training-step-log
2,20,published-extension-285b4fc9f99283189a52,0.1480831503868103,11.792524337768555,2e-05,2,0.43136458300068625,training-step-log
3,10,published-extension-9aa952f6514b1ca9eff6,0.04576866328716278,4.357985496520996,2e-05,3,0.500972947000264,training-step-log
4,18,published-extension-33346cffe6ae4b650e2d,0.6207360029220581,25.427757263183594,2e-05,4,0.3966823659993679,training-step-log
5,8,published-extension-01e7dc10e9bffc2bc36d,0.07673188298940659,5.750047206878662,2e-05,5,0.4017685899998469,training-step-log
6,22,published-extension-c5cfe7cf6a6ce25af1aa,0.29321905970573425,18.159713745117188,2e-05,6,0.39263740200112807,training-step-log
7,2,published-2f1ce77462a8d0e66c6b,0.3385506272315979,24.2923583984375,2e-05,7,0.3998260160005884,training-step-log
8,9,published-extension-ba6206ea2362334e81f7,0.4071328341960907,8.498358726501465,2e-05,8,0.3853665189999447,training-step-log
9,21,published-extension-a4811d7743acac9cc3d5,0.31685110926628113,16.083614349365234,2e-05,9,0.4437323460006155,training-step-log
10,15,published-extension-8aa844898ea181b14225,0.10294836014509201,10.373649597167969,2e-05,10,0.4688566880013241,training-step-log
11,0,published-ef77b1cc0127f5d739fe,0.4042666554450989,21.44535255432129,2e-05,11,0.4738416420004796,training-step-log
12,24,published-extension-027a0ce710c8b8d869cc,0.11222930997610092,9.688570022583008,2e-05,12,0.42553967899948475,training-step-log
13,7,published-extension-9164b4be998af177962a,0.11769967526197433,5.499711036682129,2e-05,13,0.4079264599986345,training-step-log
14,19,published-extension-7faedd048e384d070d6f,0.1504792720079422,13.821582794189453,2e-05,14,0.5032060970006569,training-step-log
15,1,published-58db3b81420c82f4d284,0.2660282850265503,11.172089576721191,2e-05,15,0.408576030000404,training-step-log
16,17,published-extension-68c52e5d89513aaba0d3,0.2480323612689972,11.925407409667969,2e-05,16,0.4128359750011441,training-step-log
17,3,published-50cecd7cc44eeafe39ca,0.28230345249176025,19.23111343383789,2e-05,17,0.4834549489987694,training-step-log
18,16,published-extension-7cfb7bf4000f273176c3,0.2904597818851471,12.19643497467041,2e-05,18,0.46108975099923555,training-step-log
19,13,published-extension-3b6de1a0a628eb20d141,0.10817141085863113,7.512289524078369,2e-05,19,0.4234732940003596,training-step-log
20,11,published-extension-e989e3a3c87587d94a95,0.4143160283565521,23.5606689453125,2e-05,20,0.40588036500048474,training-step-log
21,12,published-extension-0b224b1f87dfd8123a1b,0.1902007907629013,12.874073028564453,2e-05,21,0.3995642110003246,training-step-log
22,5,published-extension-810592d4eb7b45949eee,0.36742720007896423,21.149677276611328,2e-05,22,0.4052282140000898,training-step-log
23,23,published-extension-7946338bc49fc540ed4e,0.2878474295139313,29.46259117126465,2e-05,23,0.41063091099931626,training-step-log
24,14,published-extension-46dc975a62af6809e5de,0.25002169609069824,21.118192672729492,2e-05,24,0.4407126790010807,training-step-log
25,4,published-607f83f79f9ce549ed2e,0.09654973447322845,5.221722602844238,2e-05,25,0.5129337889993622,training-step-log
